date,Market,Mkt_GSPC_idx,Mkt_IXIC_idx,Mkt_NDX_idx,Mkt_QQQ_idx,Mkt_ARKK_idx
2004-03-31,883.3369464689891,986.5188549492821,1232.90260939915,1245.5923037460868,68.33401778143734,
2004-04-30,859.2167363878643,969.9544615516221,1187.1097523425424,1213.5087847375116,66.2939469197815,
2004-05-31,887.3287885369776,981.6748578844871,1228.2782010722565,1269.6743402156224,69.68775497554512,
2004-06-30,912.6620372810004,999.3342056969175,1266.02166248068,1313.3356170424602,71.95666390394355,
2004-07-31,852.7739489046747,965.0665166094374,1166.837703463099,1212.6688378420072,66.5227377041556,
2004-08-31,838.4326988770875,967.2739618182766,1136.383292479714,1185.2095721546928,64.86396905566708,
2004-09-30,859.8481728576819,976.3313947970953,1172.698587833269,1223.3633089425712,66.99939985779183,
2004-10-31,892.2023155051779,990.013940886897,1221.013904318006,1287.4263313864549,70.35508542935357,
2004-11-30,939.9951579088199,1028.2234658675495,1296.3277023763524,1360.8416646323597,74.58779875901837,
2004-12-31,971.7974305518937,1061.5977619730565,1344.939685568006,1403.8101385453874,76.84213612112471,
2005-01-31,924.4314621288395,1034.7494583370647,1275.0602238697836,1315.9248014444845,71.99136486402493,
2005-02-28,925.7187150371474,1054.309685508027,1268.4512956433541,1308.468977837561,71.64490115964736,
2005-03-31,906.0863757895661,1034.1537560866072,1235.9999879250386,1283.7980483205984,70.3937108260204,
2005-04-30,874.7657141167577,1013.3583903956245,1188.037109375,1230.3342550753343,67.3331016210717,
2005-05-31,932.8761851528545,1043.7105481588808,1278.6522230003864,1335.8416695873698,73.30029986478102,
2005-06-30,919.8576624329902,1043.5615958639808,1271.690856839258,1293.3148390331917,70.86335799553018,
2005-07-31,974.5180189082262,1081.0967187456142,1350.7450251159196,1389.9722618531275,76.25806991824363,
2005-08-31,961.0633910353988,1068.9645382866477,1330.5039183249614,1369.6829883600203,75.10211916996575,
2005-09-30,967.4087401421092,1076.3927988569276,1330.2565325540959,1386.9587700211314,76.0268591362818,
2005-10-31,952.6323049434891,1057.2967510916797,1310.8501074671562,1367.4922132015345,74.89014801358603,
2005-11-30,1000.6810575325903,1094.4988966249152,1380.4142617368625,1448.354702089924,79.45636967865957,
2005-12-31,989.894126383823,1093.4565513480425,1363.4127161418085,1424.6621954857214,78.04504255971956,
2006-01-31,1027.3475401164726,1121.3033593126595,1425.5456373164607,1481.425311975698,81.11585186107271,
2006-02-28,1014.5656373358598,1121.8114865957639,1410.441973773184,1446.6313627698376,79.37772620465374,
2006-03-31,1034.2823103373048,1134.258894165545,1446.5471647990728,1475.2857504808837,81.03743190371797,
2006-04-30,1034.390408791538,1148.046551601999,1435.9011241789026,1472.7311322297314,80.88282715551937,
2006-05-31,975.6210522805484,1112.552492184148,1347.0663881375579,1367.8385089515562,75.02681984893196,
2006-06-30,973.6424447342378,1112.6488353411507,1342.868678757728,1364.0716441615612,74.98062067651097,
2006-07-31,947.54422939817,1118.3076324684994,1293.0262570034777,1307.0921456812628,71.7508824394401,
2006-08-31,983.8296147054147,1142.0987250036421,1350.0772797527047,1367.968422711256,75.17403135405614,
2006-09-30,1019.3650165154904,1170.155862590706,1396.2472529462905,1432.3951825409226,78.66176798404229,
2006-10-31,1063.2265335867512,1207.025137704686,1463.190084041731,1500.2944134903125,82.39649911027477,
2006-11-30,1091.6674044113392,1226.9008058447469,1503.4126859544049,1551.1343504757965,85.22177537040793,
2006-12-31,1085.1532142577719,1242.3791199464285,1493.2241354327666,1521.3889620211685,83.62063963072298,
2007-01-31,1105.1377458433662,1259.8457814448534,1523.2951663929675,1552.0263051579343,85.38373037770961,
2007-02-28,1083.871902509926,1232.3229687807004,1493.7557356066459,1525.4588884458742,83.95001720648374,
2007-03-31,1090.2346315481432,1244.621530984724,1497.1498563079597,1534.77652739014,84.39061150974923,
2007-04-30,1141.522499342218,1298.5020563810633,1561.1067003960586,1617.3795858206108,89.10165477113915,
2007-05-31,1178.1527198219096,1340.7672967911901,1610.2133041924264,1669.717600757654,91.91267754636831,
2007-06-30,1173.3710231409245,1316.8797541699023,1609.4157529945903,1674.8353995175141,92.35318588169109,
2007-07-31,1153.5626777503603,1274.7634660546755,1574.200939431994,1673.0689317889996,92.2173737257724,
2007-08-31,1178.3223942875024,1291.161477707279,1605.168536273184,1722.1422953390863,94.81726783046057,
2007-09-30,1229.535761622649,1337.3773222002274,1670.1700154559508,1810.7984470337492,99.79726180066906,
2007-10-31,1292.6219898350441,1357.2003812023916,1767.6167648763524,1938.8464802415665,106.82433301986556,
2007-11-30,1212.7980580878245,1297.4246383455925,1645.1066219088098,1809.0578774916683,99.60309460522791,
2007-12-31,1207.7372230351118,1286.2297987459885,1639.7403581433541,1805.4467189409227,99.53201631018197,
2008-01-31,1091.834716610769,1207.5595695567386,1477.5023848048686,1594.5791396054294,87.69777247603923,
2008-02-29,1041.1695299045323,1165.58335861762,1404.315289316074,1511.3179501189038,83.46152156553126,
2008-03-31,1048.9377989329175,1158.636920761496,1409.0263354907265,1543.0637356350128,85.02420384443482,
2008-04-30,1114.4640353692557,1213.7262801089073,1491.6847287963678,1660.6337854394712,91.81134713227706,
2008-05-31,1160.9120676523478,1226.681814961793,1559.6042733288255,1760.105548323076,97.25663399569628,
2008-06-30,1054.393897952668,1121.2333207246052,1417.6074067812983,1590.8295050374286,87.90535926733992,
2008-07-31,1059.4162012333788,1110.178665230252,1437.7434614084234,1601.272922289915,88.46975600492527,
2008-08-31,1074.6712154645425,1123.7122590251538,1463.690893064142,1621.5275239252667,89.75418584360729,
2008-09-30,942.9033495754741,1021.688812137527,1293.2796802550233,1380.8711106060673,75.773795303279,
2008-10-31,783.1126445265745,848.5896714468449,1063.956693151082,1155.8538192722808,64.05039423609014,
2008-11-30,704.4827655967795,785.0735472005282,949.3477256810278,1026.8011478446201,56.708641660941915,
2008-12-31,718.355850194255,791.2140601128905,974.9799253767388,1049.2292944164633,58.000120870927475,
2009-01-31,678.7330373524812,723.4407659334447,912.7790070759273,1022.0384185061041,56.67395789444908,
2009-02-28,629.1733969106925,643.9120561271067,851.8330546029754,967.2583631487306,53.69011376395765,
2009-03-31,693.5890736153567,698.9050188529443,945.0324363649536,1071.1897937361405,59.22904550738839,
2009-04-30,775.1589503772124,764.5497280658255,1061.700184746909,1207.4211253224473,66.9647633736675,
2009-05-31,803.5844640551982,805.1331334649452,1096.9582417648764,1243.1329273968788,69.11355359409187,
2009-06-30,822.5406516211992,805.2908004849236,1134.491523377125,1279.225802785971,71.15447983677782,
2009-07-31,888.4425480384878,864.9964512890976,1223.1839258114373,1388.430844079374,77.15897097404172,
2009-08-31,905.432777510024,894.0258955649801,1242.0773159775888,1407.3345117448605,78.2933867526667,
