Date,Infra_Power_Grid,Infra_Construction,Infra_Materials,Infra_Supply,Infra
1973-02-28,51.64117477425794,9.301637922160658,,30.4714063482093,30.4714063482093
1973-03-31,49.7702810582624,9.301637922160658,,29.53595949021153,29.53595949021153
1973-04-30,48.045626114997845,9.304796527938965,,28.675211321468403,28.675211321468403
1973-05-31,47.396350562033525,9.304796527938965,,28.350573544986247,28.350573544986247
1973-06-30,48.950418893260846,9.304796527938965,,29.127607710599904,29.127607710599904
1973-07-31,49.563160665464366,9.354063080161195,,29.45861187281278,29.45861187281278
1973-08-31,50.662418688282415,9.354063080161195,,30.008240884221806,30.008240884221806
1973-09-30,50.850850006618046,9.354063080161195,,30.10245654338962,30.10245654338962
1973-10-31,49.2190341483672,9.2590306291841,,29.239032388775648,29.239032388775648
1973-11-30,49.20598028913638,9.2590306291841,,29.232505459160237,29.232505459160237
1973-12-31,48.68909356289447,9.2590306291841,,28.974062096039283,28.974062096039283
1974-01-31,50.74869451202865,9.078857689560364,,29.913776100794507,29.913776100794507
1974-02-28,49.79063367770452,9.078857689560364,,29.434745683632443,29.434745683632443
1974-03-31,49.41075319650349,9.078857689560364,,29.24480544303193,29.24480544303193
1974-04-30,48.25933861185375,9.091423934499403,,28.675381273176576,28.675381273176576
1974-05-31,47.88662457797176,9.091423934499403,,28.48902425623558,28.48902425623558
1974-06-30,48.467749493861845,9.091423934499403,,28.779586714180624,28.779586714180624
1974-07-31,50.78173264122126,9.189206506295244,,29.98546957375825,29.98546957375825
1974-08-31,51.061575514959856,9.189206506295244,,30.12539101062755,30.12539101062755
1974-09-30,49.2236977485212,9.189206506295244,,29.20645212740822,29.20645212740822
1974-10-31,49.1126571451658,8.681259675102108,,28.896958410133955,28.896958410133955
1974-11-30,48.87366274181979,8.681259675102108,,28.77746120846095,28.77746120846095
1974-12-31,51.42416388578796,8.681259675102108,,30.052711780445037,30.052711780445037
1975-01-31,52.28435678029335,8.433739582722,,30.359048181507674,30.359048181507674
1975-02-28,52.02176011078498,8.433739582722,,30.22774984675349,30.22774984675349
1975-03-31,51.511943794805376,8.433739582722,,29.972841688763687,29.972841688763687
1975-04-30,50.81811037383645,8.64285100980058,,29.730480691818514,29.730480691818514
1975-05-31,48.77772274271937,8.64285100980058,,28.710286876259975,28.710286876259975
1975-06-30,48.783576618748654,8.64285100980058,,28.713213814274617,28.713213814274617
1975-07-31,50.691342110982134,9.093005174879615,,29.892173642930874,29.892173642930874
1975-08-31,51.78014737390828,9.093005174879615,,30.436576274393946,30.436576274393946
1975-09-30,50.27992517350859,9.093005174879615,,29.6864651741941,29.6864651741941
1975-10-31,48.899281894598104,9.510729305393802,,29.205005599995953,29.205005599995953
1975-11-30,49.111770953669634,9.510729305393802,,29.311250129531718,29.311250129531718
1975-12-31,52.799808947818306,9.510729305393802,,31.155269126606054,31.155269126606054
1976-01-31,56.45081511964921,10.198624515171037,,33.32471981741012,33.32471981741012
1976-02-29,54.09866756645727,10.198624515171037,,32.14864604081416,32.14864604081416
1976-03-31,52.324178008382226,10.198624515171037,,31.261401261776633,31.261401261776633
1976-04-30,50.46843758186766,10.637830965149078,,30.55313427350837,30.55313427350837
1976-05-31,49.397671499231805,10.637830965149078,,30.01775123219044,30.01775123219044
1976-06-30,50.88788740764001,10.637830965149078,,30.762859186394543,30.762859186394543
1976-07-31,52.34510772620246,10.792202372193879,,31.568655049198167,31.568655049198167
1976-08-31,53.113614757304056,10.792202372193879,,31.952908564748967,31.952908564748967
1976-09-30,52.22298189896671,10.792202372193879,,31.507592135580293,31.507592135580293
